faculty_code,full_name,department
7777627,"Rivera, Nico",Senior High School - ABM Department
3999805,"Aguilar, Maricel",Grade School - Social Studies Department
2452545,"Zapanta, Arnel",Junior High School - MAPEH Department
9905557,"Yabut, Camille",Senior High School - English Department
2507202,"Lago, Melissa",Grade School - Values Education Department
8073933,"Sabado, Jerome",Senior High School - Filipino Department
4635493,"Espinosa, Consolacion",Junior High School - MAPEH Department
4566682,"Jacinto, Remedios",Senior High School - GAS Department
4003137,"Capistrano, Kenneth",Grade School - Science Department
9870385,"Santa Maria, Andrei",Grade School - Science Department
8869169,"Fajardo, John",Grade School - Mathematics Department
5519768,"Santos, Erica",Junior High School - TLE Department
4418599,"Natividad, Kevin",Grade School - Science Department
8752528,"Rivera, Angelo",Senior High School - ABM Department
8762825,"Damasco, Miguel",Grade School - Social Studies Department
4620914,"Manalo, Hannah",Administrative Department
8410741,"Ortega, Francis",Senior High School - Mathematics Department
3953174,"Dela Cruz, Carlos",Grade School - English Department
3872045,"Villamor, Ryan",Junior High School - TLE Department
2361641,"Sabile, Jericho",Grade School - Science Department
3397658,"Sabater, Lovely",Grade School - English Department
7393151,"Gonzalez, Aldrin",Senior High School - Mathematics Department
7800313,"Torres, Cynthia",Senior High School - HUMSS Department
4547293,"Alcantara, Carl",Senior High School - English Department
7779130,"Flores, Florencia",Junior High School - Araling Panlipunan Department
8988360,"Flores, Elena",Administrative Department
3523964,"Farinas, Joana",Grade School - Filipino Department
2618720,"Hernandez, Corazon",Junior High School - Science Department
3921501,"Farinas, Rolando",Grade School - Social Studies Department
4482603,"Cabrera, Erica",Guidance and Counseling Department
9374071,"Vergara, Victorino",Junior High School - Mathematics Department
2966512,"Pascual, Kevin",Senior High School - GAS Department
2214493,"Amador, Christian",Grade School - English Department
1799898,"Tan, Karen",Junior High School - MAPEH Department
7695800,"Fajardo, Karen",Junior High School - MAPEH Department
7946861,"Natividad, Mylene",Grade School - Science Department
4040458,"Espinosa, Carlos",Administrative Department
7687060,"Ibanez, Teodoro",Junior High School - English Department
6224739,"Valencia, Nicole",Senior High School - HUMSS Department
6211949,"Yabes, Natividad",Administrative Department
6266919,"Del Rosario, Patricia",Library Department
5189616,"Adriano, Arlene",Junior High School - Values Education Department
2344309,"Galang, Carl",Junior High School - Mathematics Department
2168980,"Adriano, Christian",Senior High School - GAS Department
6378704,"Lacson, Augusto",Senior High School - English Department
3135411,"Galvez, Arnel",Junior High School - Science Department
7867459,"Sabado, Lance",Grade School - MAPEH Department
5736054,"Villacorta, Nico",Senior High School - GAS Department
8382872,"Espiritu, Danilo",Junior High School - Filipino Department
4316133,"Santos, Marvin",Senior High School - GAS Department
6960763,"Adriano, Emilio",Grade School - Values Education Department
3879957,"Tacorda, Consolacion",Junior High School - Mathematics Department
7991279,"De Guzman, Lorena",Senior High School - PE and Health Department
4879506,"Dalisay, Paolo",Senior High School - GAS Department
7709219,"Dela Cruz, Jose",Senior High School - Mathematics Department
9921258,"Santos, Cynthia",Senior High School - Mathematics Department
6209909,"De Leon, Andrei",Grade School - MAPEH Department
9575102,"Ibanez, Augusto",Grade School - Values Education Department
5427616,"Dela Torre, Lorena",Junior High School - TLE Department
8852147,"Narvasa, Erica",Senior High School - HUMSS Department
5823510,"Dela Torre, Cynthia",Grade School - English Department
2764149,"Caballero, Perpetua",Grade School - Science Department
1536214,"Galang, Elena",Junior High School - Science Department
7194592,"Sabile, Erica",Senior High School - PE and Health Department
5952173,"De Guzman, Danilo",Grade School - Filipino Department
7621313,"Ortega, Daisy",Junior High School - Mathematics Department
8731315,"Flores, Aldrin",Grade School - Social Studies Department
8491840,"Yabut, Emilio",Junior High School - MAPEH Department
8015611,"Zalameda, Erica",Grade School - MAPEH Department
7037099,"Salazar, Arnel",Junior High School - Mathematics Department
8770570,"Yabut, Kristine",Junior High School - MAPEH Department
4081380,"Padua, Faith",Senior High School - HUMSS Department
8991883,"Navarro, Clarissa",Grade School - Science Department
9919834,"Imperial, Rogelio",Senior High School - Mathematics Department
1258586,"Candelario, Francisco",Library Department
9290022,"Candelario, Luz",Senior High School - HUMSS Department
1066111,"Villamor, Kenneth",Senior High School - English Department
5619651,"Reyes, Alyssa",Senior High School - Filipino Department
6353364,"Alejo, Paolo",Grade School - MAPEH Department
3284258,"Mendoza, Roxanne",Junior High School - MAPEH Department
1606356,"Capistrano, Miguel",Senior High School - Mathematics Department
4858019,"De Guzman, Erica",Junior High School - Science Department
3659469,"Torres, Carl",Senior High School - PE and Health Department
8008132,"Quinto, Maricel",Grade School - Filipino Department
9131271,"Alvarado, Felicitas",Junior High School - Mathematics Department
7126514,"Nepomuceno, Luz",Grade School - Values Education Department
3913196,"Damasco, Abigail",Senior High School - HUMSS Department
9975013,"De Leon, Eduardo",Senior High School - GAS Department
2905301,"Flores, Jerome",Grade School - Social Studies Department
3519897,"Villanueva, Jessa",Grade School - Mathematics Department
9602233,"Espiritu, Gian",Grade School - MAPEH Department
6937601,"Zalameda, Augusto",Junior High School - English Department
3702956,"San Pedro, Karen",Grade School - Mathematics Department
6744554,"Sabile, Perpetua",Junior High School - TLE Department
4153952,"Ortega, Lovely",Administrative Department
2864550,"Lambino, Ernesto",Senior High School - HUMSS Department
9744978,"Reyes, Janine",Junior High School - English Department
7322273,"Ramos, Camille",Library Department
4948586,"Ibanez, Kenneth",Administrative Department
2345177,"Navarro, Manuel",Guidance and Counseling Department
8447860,"Alcantara, Mylene",Junior High School - Filipino Department
1765051,"Fabian, Adrian",Grade School - English Department
6043862,"Flores, Manuel",Grade School - English Department
5792314,"Nepomuceno, Perpetua",Junior High School - Science Department
5867109,"Lambino, Corazon",Junior High School - TLE Department
2213005,"Damasco, Rosa",Grade School - MAPEH Department
6323845,"Umali, Aldrin",Junior High School - Filipino Department
