student_code,full_name,grade_level
95822412,"Mendoza, Francisco",Grade 9
42868828,"Alejo, Alfredo",Grade 4
83197857,"Quinit, Carmen",Grade 11 - GAS
14265799,"Pascual, Ana",Grade 7
41227216,"Quisumbing, Christian",Grade 1
85329037,"Villaneva, Cynthia",Grade 12 - GAS
66306997,"Ingco, Alfredo",Grade 9
10872248,"Amante, Janine",Grade 11 - GAS
55667651,"Amador, Marites",Grade 7
55176955,"Pascual, Natividad",Grade 11 - HUMSS
22981052,"Espiritu, Rosalie",Grade 9
15831819,"Jalmanzar, Abigail",Grade 12 - GAS
26753883,"Manalo, Nico",Grade 12 - GAS
49349722,"Sabalza, Leandro",Grade 11 - ABM
87490893,"Villalobos, Danilo",Grade 3
16150444,"Caballero, Gian",Grade 10
20709497,"Rivera, Maricel",Grade 11 - HUMSS
47308985,"Sablayan, Dennis",Grade 11 - ABM
31831063,"Estela, Mylene",Grade 7
99949389,"Villafuerte, Rodel",Grade 3
91756179,"Abad, Alyssa",Grade 12 - GAS
42857966,"Jalova, Manuel",Grade 11 - HUMSS
46231783,"Ungos, Alyssa",Grade 12 - GAS
39476249,"Elago, Samantha",Grade 2
40742311,"Edang, Carlos",Grade 11 - HUMSS
45935572,"Agcaoili, Ramon",Grade 11 - STEM
38538251,"Lambino, Jasmine",Grade 11 - HUMSS
96282117,"Alipio, Dennis",Grade 9
28740864,"Yap, Jennifer",Grade 12 - GAS
82340307,"Zabanal, Christine",Grade 11 - GAS
88320463,"Esteron, Daisy",Grade 8
28566572,"Lalata, Hazel",Grade 3
16323852,"Amador, Francisco",Grade 6
66661351,"Flores, Francis",Grade 11 - HUMSS
61220073,"Jamero, Francis",Grade 12 - HUMSS
43744231,"Cruz, Nathan",Grade 4
82070937,"Candelario, Jerome",Grade 11 - STEM
24972279,"Indan, Sheila",Grade 6
70897765,"Yabes, Jose",Grade 9
77187530,"Abella, Janine",Grade 12 - HUMSS
24282218,"Dantes, Leandro",Grade 12 - HUMSS
91734598,"Amador, Cynthia",Grade 11 - ABM
31682744,"Madelo, Jessa",Grade 1
90388981,"Lagunsad, Glenda",Grade 1
25014631,"Darang, Kevin",Grade 8
17774584,"Pacion, Rogelio",Grade 3
21496211,"Lagua, Abigail",Grade 3
81498611,"Zabala, Roberto",Grade 12 - ABM
83793389,"Campomanes, Felicitas",Grade 12 - HUMSS
91415657,"Agcaoili, Jericho",Grade 12 - GAS
36998038,"Ebora, Camille",Grade 11 - HUMSS
97225156,"Indunan, Mylene",Grade 12 - HUMSS
70597444,"Camacho, Corazon",Grade 8
18593410,"Garcia, Karen",Grade 12 - GAS
40885476,"Agoto, Roxanne",Grade 1
19528530,"Sabillo, Andrei",Grade 2
40728046,"Tomas, Ramon",Grade 11 - STEM
19510312,"Cabrera, Hazel",Grade 9
99788677,"Agcaoili, Ian",Grade 12 - GAS
27758595,"Pacleb, Emilio",Grade 12 - ABM
42614537,"Gallardo, Ryan",Grade 7
22660194,"Tacorda, Antonio",Grade 11 - GAS
57553014,"Galvez, Jericho",Grade 12 - STEM
17270733,"Tablizo, Tristan",Grade 4
18135295,"Yacapin, Daisy",Grade 11 - STEM
24665841,"Aceron, Jennifer",Grade 7
81979055,"Alejo, Lea",Grade 11 - GAS
34627347,"Jalova, Marites",Grade 8
20117988,"Nazareno, Carl",Grade 4
16789850,"Natividad, Jasmine",Grade 1
22517517,"Cabrera, Jerome",Grade 6
64547971,"Lago, Ian",Grade 7
63826716,"Ambrosio, Elena",Grade 11 - HUMSS
10289289,"Campomanes, Arlene",Grade 12 - STEM
48285503,"Villacorta, Jericho",Grade 12 - GAS
98834863,"Lagua, Camille",Grade 5
35487660,"Agno, Sheila",Grade 2
87736262,"Natividad, Vince",Grade 2
52091325,"Ramos, Elena",Grade 12 - ABM
77491435,"Amante, Aileen",Grade 2
78159587,"Abrigo, Eduardo",Grade 3
89864260,"Umalin, Ramon",Grade 8
64193837,"Pacion, Corazon",Grade 8
87701200,"Castillo, Francis",Grade 3
66267415,"Pagaling, Gian",Grade 12 - HUMSS
52462441,"Adlawan, Christine",Grade 11 - STEM
42035886,"Galang, Christine",Grade 5
96637649,"Jalmanzar, Mark",Grade 11 - STEM
19736572,"Jalmanzar, Maria",Grade 4
19832887,"Agcaoili, Joshua",Grade 12 - HUMSS
45594597,"Estacio, Roberto",Grade 3
42787299,"Dalistan, Mylene",Grade 6
68812137,"Villalobos, Jessa",Grade 10
92097999,"Madelo, Jasmine",Grade 1
99639081,"Dantes, Nathan",Grade 4
28024248,"Valencia, Christine",Grade 4
84252420,"Canonigo, Remedios",Grade 10
91178885,"Villaneva, Ronaldo",Grade 11 - STEM
37326368,"Sablayan, Samantha",Grade 9
77834855,"Camba, Ian",Grade 2
22388090,"Ibanez, Alyssa",Grade 9
15917225,"Elli, Jose",Grade 5
95511909,"Amaro, Christine",Grade 12 - STEM
84045292,"Ignacio, Andrei",Grade 12 - GAS
11297845,"Lopez, Francisco",Grade 5
83227889,"Fabian, Carlos",Grade 12 - GAS
29876811,"Zabala, April",Grade 2
51373735,"Castillo, Kevin",Grade 11 - ABM
38195995,"Camacho, Samantha",Grade 4
57469942,"Gallardo, Erica",Grade 5
41774346,"Abella, Manuel",Grade 11 - GAS
13326769,"Yambao, Rolando",Grade 11 - STEM
65259205,"Yambao, Nicole",Grade 8
45810056,"Villafuerte, Manuel",Grade 4
61343880,"Janolo, Carlos",Grade 8
36786211,"Estacio, Dennis",Grade 10
40547349,"Mendoza, Alfredo",Grade 7
63481198,"Dalisay, Aldrin",Grade 3
47463522,"Tabada, Marvin",Grade 12 - HUMSS
63643924,"Natad, Tristan",Grade 11 - STEM
13704481,"Caminero, Francisco",Grade 6
87925434,"Andres, Christine",Grade 4
90070438,"Espiritu, April",Grade 11 - STEM
68571795,"Macasaet, Joana",Grade 4
61700055,"Abutal, Kristine",Grade 9
15957459,"Indan, Andrei",Grade 1
79782527,"Unas, Joshua",Grade 7
58884978,"Gonzalez, April",Grade 11 - STEM
93638503,"Tadena, John",Grade 4
50308572,"Ebora, Christian",Grade 11 - GAS
53779528,"Villacorta, Daisy",Grade 10
84411983,"Aceron, Roberto",Grade 11 - GAS
99245317,"Umanito, Nico",Grade 6
92613013,"Daproza, Kenneth",Grade 11 - HUMSS
83542887,"Daproza, Jose",Grade 10
38210242,"Pagaduan, April",Grade 11 - STEM
72409658,"Ines, Carl",Grade 7
78608612,"Yambao, Ryan",Grade 6
98429450,"Dalistan, Eduardo",Grade 12 - HUMSS
99100953,"Sabalza, Alyssa",Grade 11 - STEM
22534217,"Cabrera, Jerome",Grade 10
40150759,"Alvarado, Cynthia",Grade 1
16202700,"Jaraula, Jennifer",Grade 3
71124923,"Sabillo, Cristine",Grade 7
61536717,"Galaura, Jocelyn",Grade 8
29806690,"Ungos, Jasmine",Grade 1
24305904,"Agoto, Jericho",Grade 6
79519112,"Ramos, Grace",Grade 12 - GAS
43446826,"Jalandoni, Corazon",Grade 5
72363359,"Madelo, Nicole",Grade 12 - GAS
89920257,"Zalameda, John",Grade 12 - STEM
92228802,"Macapagal, Emilio",Grade 11 - GAS
83534128,"Amante, Lea",Grade 12 - ABM
70407340,"Zabala, Christine",Grade 8
95585469,"Zapata, Marites",Grade 12 - HUMSS
75041510,"Cabreza, Leandro",Grade 9
69038700,"Villamor, Luz",Grade 10
41473195,"Elli, Rodel",Grade 11 - STEM
82498004,"Alejo, Eduardo",Grade 5
41039390,"Urbano, Arlene",Grade 5
38716269,"Gammad, Ramon",Grade 11 - GAS
54410148,"Jamero, Jessa",Grade 11 - GAS
18357162,"Ganancial, Ronaldo",Grade 11 - HUMSS
88393811,"Garcia, Clarissa",Grade 11 - HUMSS
74019136,"Estela, Jose",Grade 10
62343121,"Natad, Cristine",Grade 12 - GAS
90967191,"Lagua, Alfredo",Grade 8
46632757,"Lagua, April",Grade 1
62191530,"Umali, Karen",Grade 11 - HUMSS
32151928,"Zabala, Grace",Grade 12 - GAS
13619375,"Quinit, Jomar",Grade 1
21267237,"Ignacio, Reymark",Grade 5
71968116,"Ramos, Milagros",Grade 9
60882459,"Agcaoili, Glenda",Grade 12 - STEM
53868501,"Zamora, Karen",Grade 11 - HUMSS
47346970,"Ganancial, Jerome",Grade 9
20993268,"Ocampo, Ryan",Grade 12 - GAS
16990811,"Bustamante, Marvin",Grade 3
97477029,"Zalameda, Rosa",Grade 1
43189803,"Garcia, Cynthia",Grade 5
42016960,"Jaraula, Roberto",Grade 4
85694715,"Jamero, Patricia",Grade 9
59512272,"Racoma, Felicitas",Grade 4
31980274,"Tan, Lovely",Grade 1
51870192,"Umanito, Kristine",Grade 11 - HUMSS
63238057,"Acosta, Camille",Grade 3
89470029,"Sabile, Lance",Grade 8
23676961,"Zara, Clarissa",Grade 10
90585882,"Pabilona, Corazon",Grade 2
56600900,"Ignacio, Joshua",Grade 11 - ABM
19255216,"Tabaosares, Christian",Grade 11 - STEM
